"index","company_id","date_joined","year_founded"
"0","189","2017-06-24T00:00:00.000","1919"
"1","848","2021-06-01T00:00:00.000","2019"
"2","556","2022-02-15T00:00:00.000","2011"
"3","999","2021-11-17T00:00:00.000","2020"
"4","396","2021-10-21T00:00:00.000","2021"
"5","931","2021-09-24T00:00:00.000","2020"
"6","364","2019-02-01T00:00:00.000","2015"
"7","732","2022-01-27T00:00:00.000","2017"
"8","906","2021-06-10T00:00:00.000","2017"
"9","72","2015-01-23T00:00:00.000","2006"
"10","983","2019-08-22T00:00:00.000","1999"
"11","898","2022-01-25T00:00:00.000","2015"
"12","844","2021-07-07T00:00:00.000","2018"
"13","894","2021-12-06T00:00:00.000","2020"
"14","813","2021-08-10T00:00:00.000","2017"
"15","743","2020-12-24T00:00:00.000","2015"
"16","226","2021-01-24T00:00:00.000","2020"
"17","963","2021-10-05T00:00:00.000","2017"
"18","764","2021-12-07T00:00:00.000","2018"
"19","839","2021-12-28T00:00:00.000","2016"
"20","1033","2021-01-27T00:00:00.000","2006"
"21","725","2022-01-25T00:00:00.000","2010"
"22","549","2021-09-22T00:00:00.000","2016"
"23","667","2015-01-16T00:00:00.000","2014"
"24","755","2021-09-08T00:00:00.000","2017"
"25","782","2022-01-31T00:00:00.000","2021"
"26","175","2019-06-25T00:00:00.000","2011"
"27","398","2021-10-15T00:00:00.000","2017"
"28","814","2021-11-16T00:00:00.000","2014"
"29","436","2017-04-14T00:00:00.000","2006"
"30","1046","2021-06-16T00:00:00.000","2014"
"31","565","2021-04-21T00:00:00.000","2013"
"32","781","2021-08-31T00:00:00.000","2018"
"33","997","2021-12-06T00:00:00.000","2011"
"34","194","2021-03-18T00:00:00.000","2001"
"35","249","2021-06-29T00:00:00.000","2019"
"36","434","2021-05-19T00:00:00.000","2014"
"37","1035","2021-11-18T00:00:00.000","2020"
"38","969","2022-01-26T00:00:00.000","2014"
"39","1018","2021-02-18T00:00:00.000","2011"
"40","355","2021-09-14T00:00:00.000","2017"
"41","934","2020-03-17T00:00:00.000","2011"
"42","1054","2021-05-18T00:00:00.000","2016"
"43","901","2021-11-08T00:00:00.000","2020"
"44","173","2021-12-20T00:00:00.000","2018"
"45","738","2022-01-11T00:00:00.000","2018"
"46","422","2022-02-16T00:00:00.000","2019"
"47","830","2021-03-30T00:00:00.000","2017"
"48","1004","2021-05-24T00:00:00.000","2016"
"49","951","2015-03-06T00:00:00.000","2011"
"50","734","2022-01-27T00:00:00.000","2012"
"51","1063","2021-11-10T00:00:00.000","2018"
"52","623","2015-04-21T00:00:00.000","2013"
"53","846","2019-10-21T00:00:00.000","2015"
"54","823","2019-05-21T00:00:00.000","2000"
"55","944","2021-07-22T00:00:00.000","2005"
"56","1030","2021-08-09T00:00:00.000","2019"
"57","824","2016-04-14T00:00:00.000","2012"
"58","930","2022-02-22T00:00:00.000","2017"
"59","370","2018-07-09T00:00:00.000","2010"
"60","618","2018-10-18T00:00:00.000","2009"
"61","456","2020-01-29T00:00:00.000","2016"
"62","893","2021-09-02T00:00:00.000","2020"
"63","812","2022-03-31T00:00:00.000","2019"
"64","1001","2020-09-21T00:00:00.000","2020"
"65","703","2021-12-02T00:00:00.000","2018"
"66","884","2021-12-14T00:00:00.000","2020"
"67","404","2021-03-19T00:00:00.000","2010"
"68","952","2022-03-30T00:00:00.000","2021"
"69","625","2020-01-28T00:00:00.000","2012"
"70","971","2021-11-02T00:00:00.000","2015"
"71","796","2017-07-20T00:00:00.000","2012"
