"index","company_id","valuation","funding","select_investors"
"0","189","4000000000","0","EQT Partners"
"1","848","1000000000","100000000","Dragonfly Captial, Qiming Venture Partners, DST Global"
"2","556","2000000000","100000000","Blackstone, Bessemer Venture Partners"
"3","999","1000000000","100000000","Goldman Sachs Asset Management, 3L"
"4","396","2000000000","100000000","Insight Partners, Softbank Group, Connect Ventures"
"5","931","1000000000","100000000","Tencent Holdings, Hillhouse Capital Management"
"6","364","2000000000","101000000","K2VC, Lightspeed China Partners, Sky9 Capital"
"7","732","1000000000","102000000","Initialized Capital, General Catalyst, Kraken Ventures"
"8","906","1000000000","105000000","Delian Capital, China International Capital Corporation, Sequoia Capital China"
"9","72","8000000000","105000000","Accel Partners, Sequoia Capital"
"10","983","1000000000","105000000","Investment Corporation of Dubai, Centralway"
"11","898","1000000000","107000000","Lightspeed India Partners, Sequoia Capital India, Endiya Partners"
"12","844","1000000000","107000000","General Catalyst, Future Ventures, AU21"
"13","894","1000000000","109000000","DST Global, General Catalyst, Monashees+"
"14","813","1000000000","109000000","Polychain Capital, Coinbase Ventures, Jump Capital"
"15","743","1000000000","10000000","Coatue Management, H Capital, Capital Today"
"16","226","4000000000","110000000","Andreessen Horowitz, TQ Ventures"
"17","963","1000000000","110000000","Left Lane Capital, Galaxy Interactive, Tru Arrow Partners"
"18","764","1000000000","111000000","Craft Ventures, Caffeinated Capital, Operator Collective"
"19","839","1000000000","111000000","Fireside Ventures, Sequoia Capital India, Stellaris Venture Partners"
"20","1033","1000000000","114000000","Storm Ventures, DFJ DragonFund, New Enterprise Associates"
"21","725","1000000000","115000000","SC.Holdings, Not Boring Capital, Bolt Ventures"
"22","549","2000000000","115000000","Northern Light Venture Capital, Xiaomi, FutureX Capital"
"23","667","1000000000","116000000","Redpoint Ventures, QiMing Venture Partners, Chengwei Capital"
"24","755","1000000000","116000000","Passion Capital, Hedosophia, Outrun Ventures"
"25","782","1000000000","118000000","Paradigm, Andreessen Horowitz, Jump Capital"
"26","175","4000000000","119000000","Bnk To The Future, Trammell Ventures, SBI Investment"
"27","398","2000000000","119000000","Accomplice, Polychain Capital, GoldenTree Asset Management"
"28","814","1000000000","120000000","M13, Lightspeed Venture Partners, Lone Pine Capital"
"29","436","2000000000","120000000","GAM Holding"
"30","1046","1000000000","120000000","Insight Partners, Ignition Partners, Georgian Partners"
"31","565","2000000000","121000000","Tomales Bay Capital, Bain & Company, General Catalyst"
"32","781","1000000000","124000000","Pantera Capital, Polychain Capital, Lightspeed Venture Partners"
"33","997","1000000000","125000000","Prysm Capital, Baillie Gifford & Co., TDM Growth Partners"
"34","194","4000000000","125000000","Silver Lake, ICONIQ Capital"
"35","249","3000000000","125000000","Day One Ventures, Coinbase Ventures, Andreessen Horowitz"
"36","434","2000000000","125000000","Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund"
"37","1035","1000000000","126000000","Index Ventures, Benchmark, Thrive Capital"
"38","969","1000000000","126000000","General Catalyst, Nexus Venture Partners, Dell Technologies Capital"
"39","1018","1000000000","127000000","New Enterprise Associates, Accel, Bond"
"40","355","2000000000","127000000","VGames, Lakestar, Galaxy Interactive"
"41","934","1000000000","127000000","Technology Crossover Ventures, Alkeon Capital Management, General Atlantic"
"42","1054","1000000000","128000000","Sequoia Capital, Founders Fund, Bling Capital"
"43","901","1000000000","128000000","Cowboy Ventures, Leaders Fund, GGV Capital"
"44","173","4000000000","128000000","Foundation Capital, Frontier Ventures, AltaIR Capital"
"45","738","1000000000","128000000","Left Lane Capital, Walden Venture Capital"
"46","422","2000000000","129000000","Amplify Partners, Addition, Madrona Venture Group"
"47","830","1000000000","130000000","Thrive Capital, Khosla Ventures, Tiger Global Management"
"48","1004","1000000000","130000000","Bregal Sagemount"
"49","951","1000000000","130000000","5Y Capital, Matrix Partners China, K2VC"
"50","734","1000000000","130000000","Zeev Ventures, GSV Ventures"
"51","1063","1000000000","131000000","Equal Ventures, Uncork Capital, Andreessen Horowitz"
"52","623","1000000000","131000000","Matrix Partners China, Ventech China, Shunwei Capital Partners"
"53","846","1000000000","132000000","New Enterprise Associates, Greylock Partners, Andreessen Horowitz"
"54","823","1000000000","134000000","Ardian, Tiger Global Management, KKR"
"55","944","1000000000","135000000","Kleiner Perkins Caufield & Byers, NightDragon Security, Venrock"
"56","1030","1000000000","135000000","Greylock Partners, Google Ventures, BlackRock"
"57","824","1000000000","136000000","Tiantu Capital, SAIF Partners China, Newsion Venture Capital"
"58","930","1000000000","137000000","Nexus Venture Partners, Vertex Ventures, STRIVE"
"59","370","2000000000","137000000","Boxin Capital, DT Capital Partners, IDG Capital"
"60","618","1000000000","139000000","U.S.-China Green Fund, Founder H Fund, Richland Equities"
"61","456","2000000000","139000000","next47, First Round Capital, Sequoia Capital"
"62","893","1000000000","140000000","Andreessen Horowitz, DST Global, IDG Capital"
"63","812","1000000000","140000000","General Catalyst, Inspired Capital, Flybridge Capital Partners"
"64","1001","1000000000","140000000","Sozo Ventures, Caffeinated Capital, Sequoia Capital"
"65","703","1000000000","141000000","Innovation Endeavors, s28 Capital, Lightspeed Venture Partners"
"66","884","1000000000","141000000","Thrive Capital, General Catalyst, Coatue Management"
"67","404","2000000000","142000000","Moonshots Capital, BoxGroup, Blu Venture Investors"
"68","952","1000000000","143000000","Andreessen Horowitz, FTX Ventures, Tiger Global Management"
"69","625","1000000000","143000000","Index Ventures, Thrive Capital, Bain Capital Ventures"
"70","971","1000000000","144000000","GGV Capital, GSR Ventures, FreesFund"
"71","796","1000000000","144000000","Sequoia Capital China, Qiming Venture Partners, Tencent Holdings"
"72","909","1000000000","145000000","Next Play Ventures, Zeal Capital Partners, SoftBank Group"
"73","587","2000000000","147000000","Toyota Motor Corporation, Mizuho Financial Group, FANUC"
"74","273","3000000000","148000000","Forerunner Ventures, Lifeline Ventures, MSD Capital"
"75","771","1000000000","148000000","Accel, Greylock Partners, Meritech Capital Partners"
"76","1005","1000000000","226000000","Insight Partners, Bain Capital Ventures"
"77","758","1000000000","148000000","Andreessen Horowitz, Bessemer Venture Partners, Coatue Management"
"78","652","1000000000","149000000","GGV Capital, Hillhouse Capital Management, IDG Capital"
"79","8","38000000000","14000000000","Tiger Global Management"
"80","760","1000000000","14000000","Shunwei Capital Partners, 5Y Capital, Legend Capital"
"81","394","2000000000","150000000","Sequoia Capital, General Catalyst, Human Capital"
"82","393","2000000000","150000000","Ant Group, Charoen Pokphand Group, Bow Wave Capital"
"83","870","1000000000","150000000","C5 Capital, Hemisphere Ventures, The Venture Collective"
"84","804","1000000000","150000000","Venrock, Innovation Endeavors, Insights Partners"
"85","1041","1000000000","151000000","Sequoia Capital China, Linear Venture, Hearst Ventures"
"86","443","2000000000","151000000","Andreessen Horowitz, Greylock Partners, Sequoia Capital"
"87","978","1000000000","151000000","IDG Capital, Francisco Partners, ZhenFund"
"88","612","1000000000","151000000","Temasek, BUILD Capital Partners, Northzone Ventures"
"89","714","1000000000","151000000","Phoenix New Media, Tianjin Haihe Industry Fund"
"90","925","1000000000","152000000","Wildcat Capital Management, Insight Partners, Tola Capital"
