"index","product_id","category","sub_category","product_name"
"0","TEC-AC-10003033","Technology","Accessories","Plantronics CS510 - Over-the-Head monaural Wireless Headset System"
"1","FUR-CH-10003950","Furniture","Chairs","Novimex Executive Leather Armchair, Black"
"2","TEC-PH-10004664","Technology","Phones","Nokia Smart Phone, with Caller ID"
"3","TEC-PH-10004583","Technology","Phones","Motorola Smart Phone, Cordless"
"4","TEC-SHA-10000501","Technology","Copiers","Sharp Wireless Fax, High-Speed"
"5","TEC-PH-10000030","Technology","Phones","Samsung Smart Phone, with Caller ID"
"6","FUR-CH-10004050","Furniture","Chairs","Novimex Executive Leather Armchair, Adjustable"
"7","FUR-TA-10002958","Furniture","Tables","Chromcraft Conference Table, Fully Assembled"
"8","OFF-BI-10003527","Office Supplies","Binders","Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind"
"9","FUR-TA-10000198","Furniture","Tables","Chromcraft Bull-Nose Wood Oval Conference Tables & Bases"
"10","OFF-SU-10002881","Office Supplies","Supplies","Martin Yale Chadless Opener Electric Letter Opener"
"11","FUR-TA-10001889","Furniture","Tables","Bevis Conference Table, Fully Assembled"
"12","TEC-CIS-10001717","Technology","Phones","Cisco Smart Phone, with Caller ID"
"13","FUR-CH-10002033","Furniture","Chairs","Harbour Creations Executive Leather Armchair, Adjustable"
"14","OFF-AP-10003500","Office Supplies","Appliances","KitchenAid Microwave, White"
"15","OFF-AP-10000423","Office Supplies","Appliances","Breville Refrigerator, Red"
"16","TEC-AC-10004145","Technology","Accessories","Logitech diNovo Edge Keyboard"
"17","OFF-AP-10004512","Office Supplies","Appliances","Hoover Stove, Red"
"18","TEC-CO-10000865","Technology","Copiers","Brother Fax Machine, High-Speed"
"19","OFF-KIT-10004058","Office Supplies","Appliances","KitchenAid Stove, White"
"20","FUR-HON-10000224","Furniture","Tables","Hon Computer Table, with Bottom Storage"
"21","TEC-PH-10001363","Technology","Phones","Apple iPhone 5S"
"22","FUR-CH-10000027","Furniture","Chairs","SAFCO Executive Leather Armchair, Black"
"23","OFF-AP-10003590","Office Supplies","Appliances","KitchenAid Refrigerator, Black"
"24","TEC-PH-10004182","Technology","Phones","Motorola Smart Phone, Full Size"
"25","FUR-TA-10002827","Furniture","Tables","Hon Computer Table, Fully Assembled"
"26","FUR-TA-10004744","Furniture","Tables","Lesro Conference Table, with Bottom Storage"
"27","TEC-PH-10002885","Technology","Phones","Apple iPhone 5"
"28","FUR-CH-10001415","Furniture","Chairs","Office Star Executive Leather Armchair, Red"
"29","TEC-PH-10002815","Technology","Phones","Samsung Smart Phone, VoIP"
"30","TEC-MA-10000161","Technology","Machines","Okidata Inkjet, Wireless"
"31","FUR-CH-10002024","Furniture","Chairs","HON 5400 Series Task Chairs for Big and Tall"
"32","OFF-AP-10004246","Office Supplies","Appliances","Breville Stove, Red"
"33","FUR-TA-10003473","Furniture","Tables","Bretford Rectangular Conference Table Tops"
"34","TEC-APP-10000308","Technology","Phones","Apple Smart Phone, Full Size"
"35","TEC-MA-10003979","Technology","Machines","Ativa V4110MDD Micro-Cut Shredder"
"36","TEC-MA-10004125","Technology","Machines","Cubify CubeX 3D Printer Triple Head Print"
"37","TEC-CO-10000013","Technology","Copiers","Brother Fax Machine, Laser"
"38","TEC-PH-10000499","Technology","Phones","Motorola Smart Phone, Full Size"
"39","TEC-PH-10003856","Technology","Phones","Motorola Smart Phone, with Caller ID"
"40","FUR-BO-10004852","Furniture","Bookcases","Sauder Classic Bookcase, Traditional"
"41","OFF-AP-10000486","Office Supplies","Appliances","Cuisinart Stove, Silver"
"42","OFF-BI-10001120","Office Supplies","Binders","Ibico EPK-21 Electric Binding System"
"43","FUR-CH-10003365","Furniture","Chairs","Office Star Executive Leather Armchair, Adjustable"
"44","FUR-CH-10000602","Furniture","Chairs","Novimex Executive Leather Armchair, Red"
"45","TEC-MA-10002680","Technology","Machines","Konica Inkjet, White"
"46","FUR-CH-10000891","Furniture","Chairs","Harbour Creations Executive Leather Armchair, Black"
"47","TEC-CAN-10003392","Technology","Copiers","Canon Copy Machine, Color"
"48","TEC-CO-10001449","Technology","Copiers","Hewlett Packard LaserJet 3310 Copier"
"49","FUR-BO-10001372","Furniture","Bookcases","Safco Classic Bookcase, Pine"
"50","TEC-MOT-10002272","Technology","Phones","Motorola Smart Phone, with Caller ID"
"51","TEC-CO-10004997","Technology","Copiers","Hewlett Wireless Fax, Color"
"52","TEC-CO-10001766","Technology","Copiers","Canon PC940 Copier"
"53","FUR-TA-10000226","Furniture","Tables","Chromcraft Conference Table, with Bottom Storage"
"54","OFF-AP-10002244","Office Supplies","Appliances","Breville Refrigerator, White"
"55","TEC-PH-10001459","Technology","Phones","Samsung Galaxy Mega 6.3"
"56","FUR-BO-10001073","Furniture","Bookcases","Safco Classic Bookcase, Metal"
"57","TEC-MA-10000045","Technology","Machines","Zebra ZM400 Thermal Label Printer"
"58","TEC-PH-10002035","Technology","Phones","Samsung Smart Phone, Cordless"
"59","TEC-PH-10002565","Technology","Phones","Apple Audio Dock, with Caller ID"
"60","OFF-AP-10002945","Office Supplies","Appliances","Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room"
"61","FUR-BO-10004999","Furniture","Bookcases","Safco Classic Bookcase, Metal"
"62","FUR-TA-10001205","Furniture","Tables","Chromcraft Wood Table, Rectangular"
"63","TEC-PH-10004196","Technology","Phones","Samsung Smart Phone, Cordless"
"64","FUR-CHR-10001018","Furniture","Tables","Chromcraft Round Table, Rectangular"
"65","FUR-CH-10003232","Furniture","Chairs","Harbour Creations Executive Leather Armchair, Adjustable"
"66","OFF-AP-10001630","Office Supplies","Appliances","Hamilton Beach Microwave, Black"
"67","FUR-HAR-10002873","Furniture","Chairs","Harbour Creations Executive Leather Armchair, Adjustable"
"68","FUR-TA-10000687","Furniture","Tables","Bevis Conference Table, with Bottom Storage"
"69","TEC-PH-10004505","Technology","Phones","Nokia Smart Phone, Full Size"
"70","TEC-PH-10002683","Technology","Phones","Apple Smart Phone, Cordless"
"71","TEC-CO-10002269","Technology","Copiers","Brother Ink, Color"
"72","TEC-CO-10002526","Technology","Copiers","Sharp Wireless Fax, Digital"
"73","FUR-CH-10002891","Furniture","Chairs","Hon Executive Leather Armchair, Adjustable"
"74","TEC-CAN-10001437","Technology","Copiers","Canon Wireless Fax, Laser"
"75","OFF-BI-10004995","Office Supplies","Binders","GBC DocuBind P400 Electric Binding System"
"76","TEC-PH-10004327","Technology","Phones","Motorola Smart Phone, Full Size"
"77","OFF-AP-10001621","Office Supplies","Appliances","Hamilton Beach Refrigerator, Black"
"78","OFF-HOO-10001881","Office Supplies","Appliances","Hoover Stove, White"
"79","TEC-CO-10001954","Technology","Copiers","Brother Wireless Fax, Laser"
"80","FUR-BO-10003282","Furniture","Bookcases","Ikea Classic Bookcase, Mobile"
"81","TEC-CO-10003102","Technology","Copiers","Canon Copy Machine, Color"
"82","FUR-TA-10003392","Furniture","Tables","Global Adaptabilities Conference Tables"
"83","OFF-AP-10002552","Office Supplies","Appliances","Hamilton Beach Stove, White"
"84","TEC-MOT-10000554","Technology","Phones","Motorola Smart Phone, Full Size"
"85","FUR-TA-10003627","Furniture","Tables","Bevis Conference Table, with Bottom Storage"
"86","FUR-BO-10001133","Furniture","Bookcases","Ikea Classic Bookcase, Mobile"
"87","TEC-MA-10003515","Technology","Machines","Panasonic Printer, Red"
"88","OFF-AP-10002904","Office Supplies","Appliances","Hamilton Beach Refrigerator, Silver"
"89","TEC-MOT-10003348","Technology","Phones","Motorola Smart Phone, Full Size"
"90","TEC-PH-10001990","Technology","Phones","Cisco Smart Phone, Full Size"
"91","TEC-PH-10002898","Technology","Phones","Samsung Smart Phone, Full Size"
"92","TEC-CO-10001633","Technology","Copiers","Sharp Fax Machine, High-Speed"
"93","TEC-PH-10002623","Technology","Phones","Cisco Smart Phone, with Caller ID"
"94","FUR-TA-10004575","Furniture","Tables","Hon 5100 Series Wood Tables"
"95","FUR-BO-10001498","Furniture","Bookcases","Dania Classic Bookcase, Pine"
"96","OFF-AP-10003598","Office Supplies","Appliances","Breville Refrigerator, Red"
"97","FUR-CH-10001582","Furniture","Chairs","Office Star Executive Leather Armchair, Black"
"98","TEC-MA-10001047","Technology","Machines","3D Systems Cube Printer, 2nd Generation, Magenta"
"99","TEC-PH-10000505","Technology","Phones","Apple Smart Phone, with Caller ID"
"100","FUR-BO-10002003","Furniture","Bookcases","Sauder Classic Bookcase, Metal"
"101","TEC-CO-10001775","Technology","Copiers","Sharp Wireless Fax, Laser"
"102","OFF-AP-10000647","Office Supplies","Appliances","Hoover Refrigerator, White"
"103","TEC-MA-10004002","Technology","Machines","Zebra GX420t Direct Thermal/Thermal Transfer Printer"
"104","TEC-CO-10001926","Technology","Copiers","Hewlett Wireless Fax, Laser"
"105","OFF-ST-10001496","Office Supplies","Storage","Standard Rollaway File with Lock"
"106","FUR-CH-10002203","Furniture","Chairs","SAFCO Executive Leather Armchair, Black"
"107","FUR-BO-10001934","Furniture","Bookcases","Bush Library with Doors, Metal"
"108","TEC-CO-10000562","Technology","Copiers","HP Wireless Fax, Digital"
"109","TEC-MA-10001127","Technology","Machines","HP Designjet T520 Inkjet Large Format Printer - 24"" Color"
"110","OFF-BI-10000545","Office Supplies","Binders","GBC Ibimaster 500 Manual ProClick Binding System"
"111","TEC-CO-10002035","Technology","Copiers","Canon Wireless Fax, High-Speed"
"112","TEC-CO-10004099","Technology","Copiers","Sharp Fax Machine, Digital"
"113","TEC-PH-10003002","Technology","Phones","Cisco Smart Phone, Full Size"
"114","FUR-TA-10001932","Furniture","Tables","Chromcraft 48"" x 96"" Racetrack Double Pedestal Table"
"115","TEC-CO-10004722","Technology","Copiers","Canon imageCLASS 2200 Advanced Copier"
"116","FUR-CH-10000749","Furniture","Chairs","Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms"
"117","TEC-CO-10004398","Technology","Copiers","Brother Copy Machine, Color"
"118","TEC-CO-10004535","Technology","Copiers","Hewlett Fax Machine, High-Speed"
"119","TEC-AC-10000420","Technology","Accessories","Belkin Router, USB"
"120","FUR-BO-10001212","Furniture","Bookcases","Safco Classic Bookcase, Mobile"
"121","TEC-PH-10001670","Technology","Phones","Motorola Smart Phone, Full Size"
"122","FUR-CH-10001215","Furniture","Chairs","Global Troy Executive Leather Low-Back Tilter"
"123","FUR-BO-10004679","Furniture","Bookcases","Safco Library with Doors, Pine"
"124","OFF-AP-10001776","Office Supplies","Appliances","Hoover Refrigerator, Red"
"125","TEC-MA-10003704","Technology","Machines","StarTech Printer, Wireless"
"126","FUR-CH-10001854","Furniture","Chairs","Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat"
