"index","year","first_name","sex","num"
"0","1920","Mary","F","70982"
"1","1920","Dorothy","F","36643"
"2","1920","Helen","F","35097"
"3","1920","Margaret","F","27994"
"4","1920","Ruth","F","26101"
"5","1920","Mildred","F","18059"
"6","1920","Virginia","F","17314"
"7","1920","Elizabeth","F","15909"
"8","1920","Frances","F","15883"
"9","1920","Anna","F","14581"
"10","1920","Betty","F","14016"
"11","1920","Evelyn","F","13838"
"12","1920","Marie","F","12743"
"13","1920","Doris","F","11892"
"14","1920","Alice","F","11596"
"15","1920","Florence","F","10732"
"16","1920","Irene","F","10072"
"17","1920","Lillian","F","10049"
"18","1920","Louise","F","9179"
"19","1920","Rose","F","9011"
"20","1920","Catherine","F","8878"
"21","1920","Gladys","F","8819"
"22","1920","Martha","F","8709"
"23","1920","Marjorie","F","8658"
"24","1920","Eleanor","F","8497"
"25","1920","Ruby","F","8336"
"26","1920","Edna","F","8331"
"27","1920","Josephine","F","8093"
"28","1920","Lucille","F","7989"
"29","1920","Ethel","F","7868"
"30","1920","Thelma","F","7814"
"31","1920","Edith","F","7773"
"32","1920","Jean","F","7714"
"33","1920","Hazel","F","7308"
"34","1920","Annie","F","7269"
"35","1920","Pauline","F","7180"
"36","1920","Grace","F","7172"
"37","1920","Lois","F","6560"
"38","1920","Esther","F","6068"
"39","1920","Bernice","F","5928"
"40","1920","Beatrice","F","5804"
"41","1920","Gertrude","F","5797"
"42","1920","Marion","F","5745"
"43","1920","Clara","F","5470"
"44","1920","Katherine","F","5276"
"45","1920","Emma","F","5237"
"46","1920","Barbara","F","5106"
"47","1920","Jane","F","5055"
"48","1920","Ann","F","5041"
"49","1920","Sarah","F","5031"
"50","1920","John","M","56914"
"51","1920","William","M","50148"
"52","1920","Robert","M","48678"
"53","1920","James","M","47909"
"54","1920","Charles","M","28309"
"55","1920","George","M","26891"
"56","1920","Joseph","M","25590"
"57","1920","Edward","M","20096"
"58","1920","Frank","M","16430"
"59","1920","Richard","M","15010"
"60","1920","Thomas","M","14938"
"61","1920","Harold","M","13678"
"62","1920","Walter","M","13293"
"63","1920","Paul","M","12571"
"64","1920","Raymond","M","12194"
"65","1920","Donald","M","11942"
"66","1920","Henry","M","11305"
"67","1920","Arthur","M","10236"
"68","1920","Albert","M","9997"
"69","1920","Jack","M","9599"
"70","1920","Harry","M","9406"
"71","1920","Ralph","M","8556"
"72","1920","Kenneth","M","7840"
"73","1920","Howard","M","7465"
"74","1920","David","M","7445"
"75","1920","Clarence","M","7221"
"76","1920","Carl","M","7010"
"77","1920","Louis","M","6966"
"78","1920","Willie","M","6888"
"79","1920","Eugene","M","6866"
"80","1920","Earl","M","6532"
"81","1920","Roy","M","6355"
"82","1920","Fred","M","6298"
"83","1920","Francis","M","6241"
"84","1920","Joe","M","6071"
"85","1920","Lawrence","M","5727"
"86","1920","Ernest","M","5566"
"87","1920","Leonard","M","5511"
"88","1920","Warren","M","5492"
"89","1920","Stanley","M","5314"
"90","1920","Herbert","M","5249"
"91","1920","Alfred","M","5007"
"92","1921","Mary","F","73985"
"93","1921","Dorothy","F","39087"
"94","1921","Helen","F","34822"
"95","1921","Margaret","F","28468"
"96","1921","Ruth","F","25784"
"97","1921","Virginia","F","19032"
"98","1921","Mildred","F","17881"
"99","1921","Betty","F","17638"
"100","1921","Frances","F","15993"
"101","1921","Elizabeth","F","15801"
"102","1921","Anna","F","14477"
"103","1921","Evelyn","F","14278"
"104","1921","Doris","F","13152"
"105","1921","Marie","F","12501"
"106","1921","Alice","F","11955"
"107","1921","Marjorie","F","11209"
"108","1921","Florence","F","10719"
"109","1921","Irene","F","10624"
"110","1921","Lillian","F","9770"
"111","1921","Rose","F","9352"
"112","1921","Martha","F","9264"
"113","1921","Louise","F","9180"
"114","1921","Catherine","F","8887"
"115","1921","Gladys","F","8814"
"116","1921","Jean","F","8593"
"117","1921","Ruby","F","8333"
"118","1921","Edna","F","8302"
"119","1921","Josephine","F","8134"
"120","1921","Eleanor","F","8054"
"121","1921","Thelma","F","7839"
"122","1921","Lucille","F","7698"
"123","1921","Ethel","F","7603"
"124","1921","Edith","F","7589"
"125","1921","Hazel","F","7341"
"126","1921","Grace","F","7230"
"127","1921","Annie","F","7209"
"128","1921","Pauline","F","7142"
"129","1921","Lois","F","6899"
"130","1921","Bernice","F","6190"
"131","1921","Barbara","F","6013"
"132","1921","Beatrice","F","5968"
"133","1921","Esther","F","5926"
"134","1921","Marion","F","5814"
"135","1921","Shirley","F","5694"
"136","1921","Clara","F","5606"
"137","1921","Gertrude","F","5350"
"138","1921","Jane","F","5187"
"139","1921","Rita","F","5157"
"140","1921","Katherine","F","5156"
"141","1921","June","F","5155"
"142","1921","Norma","F","5101"
"143","1921","Emma","F","5073"
"144","1921","Ann","F","5058"
"145","1921","Sarah","F","5024"
"146","1921","John","M","58215"
"147","1921","Robert","M","52784"
"148","1921","William","M","51862"
"149","1921","James","M","49749"
"150","1921","Charles","M","29243"
"151","1921","George","M","27476"
"152","1921","Joseph","M","26182"
"153","1921","Edward","M","20818"
"154","1921","Frank","M","16707"
"155","1921","Richard","M","16376"
"156","1921","Thomas","M","15307"
"157","1921","Harold","M","13811"
"158","1921","Donald","M","13776"
"159","1921","Paul","M","13168"
"160","1921","Walter","M","13004"
"161","1921","Raymond","M","12646"
"162","1921","Henry","M","11411"
"163","1921","Jack","M","10756"
"164","1921","Arthur","M","10527"
"165","1921","Albert","M","10158"
"166","1921","Harry","M","9731"
"167","1921","Kenneth","M","8960"
"168","1921","Ralph","M","8860"
"169","1921","Warren","M","7798"
"170","1921","David","M","7766"
"171","1921","Eugene","M","7718"
"172","1921","Howard","M","7713"
"173","1921","Clarence","M","7332"
"174","1921","Louis","M","7247"
